entry_date,exit_date,ticker,side,entry_price,exit_price,sl,tp,shares,pnl,win_prob,outcome
2022-02-21,2022-02-21,ADANIENT.NS,BUY,1735.6055047571026,1709.571422185746,1709.571422185746,1787.6736698998156,2,-52.06816514271304,0.8395470380783081,SL
2022-02-25,2022-03-04,INFY.NS,SELL,1572.0699807371516,1579.678466796875,1595.6510304482088,1524.907881315037,3,-22.825458179170255,0.6026992201805115,EXIT
2022-02-28,2022-02-28,AXISBANK.NS,BUY,746.7819868541975,735.5802570513845,735.5802570513845,769.1854464598234,6,-67.21037881687812,0.7273593544960022,SL
2022-03-02,2022-03-03,ICICIBANK.NS,BUY,695.5040227620968,685.0714624206654,685.0714624206654,716.3691434449597,6,-62.59536204858864,0.6026984453201294,SL
2022-03-03,2022-03-03,AXISBANK.NS,BUY,752.8565623816262,741.5637139459018,741.5637139459018,775.442259253075,6,-67.75709061434645,0.7140101790428162,SL
2022-03-03,2022-03-03,ICICIBANK.NS,BUY,696.0859890579119,685.6446992220432,685.6446992220432,716.9685687296493,6,-62.64773901521221,0.7725009322166443,SL
2022-03-07,2022-03-07,AXISBANK.NS,BUY,690.118482173446,679.7667049408443,679.7667049408443,710.8220366386494,6,-62.11066339560989,0.7088066935539246,SL
2022-03-07,2022-03-07,SBIN.NS,BUY,416.7279487446068,410.4770295134377,410.4770295134377,429.229787206945,11,-68.76011154286033,0.731101930141449,SL
2022-03-24,2022-03-24,HDFCBANK.NS,BUY,681.8892942903519,671.6609548759966,671.6609548759966,702.3459731190625,7,-71.59837590048733,0.8614012002944946,SL
2022-04-05,2022-04-05,HDFCBANK.NS,BUY,775.2421066620923,763.6134750621609,763.6134750621609,798.4993698619551,6,-69.77178959958837,0.7381607890129089,SL
2022-04-06,2022-04-06,HDFCBANK.NS,BUY,738.4963900456509,727.4189441949661,727.4189441949661,760.6512817470203,6,-66.46467510410844,0.6927741765975952,SL
2022-04-07,2022-04-11,RELIANCE.NS,SELL,1180.8016922079776,1198.5137175910972,1198.5137175910972,1145.3776414417382,4,-70.84810153247872,0.6137233376502991,SL
2022-04-11,2022-04-11,INFY.NS,BUY,1662.81914798787,1637.876860768052,1637.876860768052,1712.7037224275061,2,-49.88457443963625,0.6594417095184326,SL
2022-04-13,2022-04-18,HDFCBANK.NS,SELL,693.0526191017818,672.2610405287284,703.4484083883085,672.2610405287284,6,124.74947143832082,0.6472741365432739,TP
2022-04-18,2022-04-18,HDFCBANK.NS,BUY,659.9581677971256,650.0587952801687,650.0587952801687,679.7569128310394,7,-69.29560761869811,0.6444461345672607,SL
2022-04-22,2022-04-22,SBIN.NS,BUY,477.6307590507531,470.4662976649918,470.4662976649918,491.9596818222757,10,-71.64461385761285,0.7469673156738281,SL
2022-04-28,2022-04-29,AXISBANK.NS,BUY,773.6696509077843,762.0646061441676,762.0646061441676,796.8797404350179,6,-69.63026858170065,0.6413311958312988,SL
2022-04-29,2022-04-29,SBIN.NS,BUY,473.16080767692927,466.06339556177534,466.06339556177534,487.3556319072371,10,-70.9741211515393,0.6038519740104675,SL
2022-05-04,2022-05-04,AXISBANK.NS,BUY,729.9521713782924,719.002888807618,719.002888807618,751.8507365196411,6,-65.69569542404656,0.688479483127594,SL
2022-05-05,2022-05-06,ADANIENT.NS,BUY,2265.8298681614588,2231.8424201390367,2231.8424201390367,2333.8047642063025,2,-67.97489604484417,0.6382599472999573,SL
2022-05-05,2022-05-06,AXISBANK.NS,SELL,713.0228322851003,691.6321473165473,723.7181747693768,691.6321473165473,6,128.34410981131828,0.701492190361023,TP
2022-05-06,2022-05-10,ADANIENT.NS,BUY,2205.939866480264,2172.8507684830597,2172.8507684830597,2272.1180624746717,2,-66.17819599440827,0.7966572642326355,SL
2022-05-06,2022-05-06,AXISBANK.NS,BUY,687.13098974294,676.8240248967959,676.8240248967959,707.7449194352282,6,-61.841789076864416,0.735846757888794,SL
2022-05-09,2022-05-09,ADANIENT.NS,BUY,2225.4041339325768,2192.0230719235883,2192.0230719235883,2292.166257950554,2,-66.76212401797693,0.7521435618400574,SL
2022-05-10,2022-05-10,ADANIENT.NS,BUY,2185.9763669097388,2153.1867214060926,2153.1867214060926,2251.555657917031,2,-65.57929100729234,0.7910614013671875,SL
2022-05-12,2022-05-12,AXISBANK.NS,BUY,664.2266262089357,654.2632268158017,654.2632268158017,684.1534249952037,7,-69.74379575193848,0.6240837574005127,SL
2022-05-12,2022-05-12,SBIN.NS,BUY,440.4744454115289,433.86732873035595,433.86732873035595,453.68867877387476,10,-66.07116681172954,0.6160302758216858,SL
2022-05-24,2022-05-25,ADANIENT.NS,BUY,2157.029780138941,2124.674333436857,2124.674333436857,2221.740673543109,2,-64.71089340416802,0.6095707416534424,SL
2022-05-25,2022-05-25,ADANIENT.NS,BUY,2164.0170354053653,2131.556779874285,2131.556779874285,2228.9375464675263,2,-64.92051106216059,0.6336442828178406,SL
2022-06-03,2022-06-03,AXISBANK.NS,BUY,694.4005415217281,683.9845333989022,683.9845333989022,715.23255776738,6,-62.49604873695557,0.750249981880188,SL
